# ra_deg|dec_deg|mag|bv|bayer|proper_name|constellation
33.0928|30.3031|4.94|0.770|||Tri
33.1564|24.1678|5.96|1.366|||
33.1981|-2.3936|5.65|0.546|||Cet
33.2004|21.2110|5.23|0.457|η||Ari
33.2270|-30.7238|5.27|-0.013|μ||For
33.2500|8.8467|4.36|0.878|ξ1|Al Kaff al Jidhmah|Cet
33.2541|-21.0001|5.86|1.006|||
33.2638|15.2799|5.72|1.551|||Ari
33.3055|44.2317|4.84|1.476|b||And
33.4014|51.0658|5.31|0.926|||Per
33.5606|-67.8414|5.57|1.556|π1||Hyi
33.6331|-41.1668|5.91|0.965|||
33.8693|-67.7464|5.67|1.306|π2||Hyi
33.9282|25.0430|5.57|0.520|||Ari
33.9419|25.7829|5.79|0.439|||Ari
33.9845|33.3589|5.25|-0.004|||Tri
34.1274|-51.5122|3.56|-0.120|φ||Eri
34.2460|-6.4221|5.51|0.962|||Cet
34.2635|34.2242|4.84|0.607|δ||Tri
34.3286|33.8472|4.03|0.019|γ||Tri
34.4995|57.8998|5.75|1.175|||Per
34.5060|1.7578|5.60|0.588|||
34.5191|57.5163|5.99|1.039|χ|Misam al Thurayya|Per
34.5314|19.9012|5.58|0.011|θ||Ari
34.7375|28.6427|5.29|0.037|||Tri
34.8200|47.3800|5.31|0.006|c||And
34.9761|-55.9448|5.81|1.570|||
35.2425|50.1515|5.57|-0.089|||And
35.4373|-68.6594|4.08|0.034|δ||Hyi
35.4859|0.3957|5.29|1.648|||Cet
35.5064|-10.7775|5.43|0.364|||
35.5208|-17.6622|5.89|1.231|||
35.5517|-0.8849|5.42|0.335|||Cet
35.5893|55.8457|5.16|0.369|i||Per
35.6356|-23.8163|5.19|0.608|κ||For
35.7096|41.3963|5.81|0.289|||
35.7179|-73.6458|5.99|1.088|κ||Hyi
35.7278|-51.0921|5.90|0.213|||
36.1038|50.0065|5.19|0.979|||And
36.2044|10.6106|5.48|-0.098|ξ||Ari
36.2246|-60.3119|5.36|0.395|λ||Hor
36.4059|50.2786|4.73|1.532|||And
36.4875|-12.2905|4.88|-0.027|ρ|Sadr al Kaitos|Cet
36.5015|-15.3412|5.88|0.116|AB||Cet
36.6467|-20.0426|5.89|1.247|||
36.7463|-47.7038|4.24|-0.136|κ||Eri
36.8657|31.8013|5.55|1.114|||Tri
37.0071|-33.8110|5.13|0.089|φ||For
37.0398|8.4601|4.30|-0.053|ξ2||Cet
37.0416|29.6693|5.29|0.311|||Tri
37.2021|29.9318|5.89|0.591|||Tri
37.2664|67.4025|4.46|0.153|ι||Cas
37.6348|25.2350|5.88|0.412|||
37.6883|0.2557|6.00|0.168|||
37.8754|2.2672|5.27|1.271|Wo9083||
37.9189|-79.1094|5.27|0.981|μ||Hyi
37.9545|89.2641|1.97|0.636|α|Polaris|UMi
38.0218|-15.2447|4.74|0.454|σ||Cet
38.0257|36.1473|5.15|1.472|||Tri
38.0393|-1.0349|5.36|1.004|||Cet
38.2192|34.5424|5.84|1.083|||
38.2256|15.0346|6.00|0.572|||Ari
38.2793|-34.6500|5.91|1.064|λ1||For
38.4613|-28.2323|4.96|-0.050|ω||For
38.6776|-7.8594|5.74|1.393|||Cet
38.9114|37.3123|5.72|1.389|||
38.9450|34.6876|5.38|1.652|||Tri
38.9686|5.5932|4.87|0.880|ν||Cet
39.0002|-7.8316|5.53|1.607|||Cet
39.0204|6.8869|5.79|0.918|GJ105A||
39.0386|-30.0450|5.74|1.017|ι1||For
39.1461|7.7300|5.81|1.040|||
39.1580|12.4476|5.64|0.516|||Ari
39.2383|38.7336|5.91|0.502|||
39.2442|-34.5780|5.78|0.653|λ2||For
39.3515|-52.5431|5.30|0.289|η||Hor
39.4003|65.7453|5.80|1.561|||
39.4242|-3.3962|5.65|1.021|||Cet
39.5085|72.8183|5.17|0.896|||
39.5778|-30.1941|5.84|0.476|ι2||For
39.7041|21.9614|5.45|0.168|ν||Ari
39.8707|0.3285|4.08|-0.212|δ||Cet
39.8910|-11.8722|4.83|0.447|ε||Cet
39.8973|-68.2669|4.12|-0.061|ε||Hyi
39.9500|-42.8917|4.74|0.061|s||Eri
40.0518|-9.4529|5.79|0.524|HD 16673||
40.1651|-54.5499|5.21|0.411|ζ||Hor
40.1668|-39.8554|4.11|1.006|ι||Eri
40.1711|27.0609|5.30|0.081||Barani|Ari
40.3083|-0.6957|5.72|0.511|||Cet
